K,knockstat,FDP1,POWER1,FDP35,POWER35
20,lasso_coefdiff,0.0596,0.956,0.0571,0.992
20,lasso_lambdadiff,0.0766,0.7815,0.0635,0.893
20,lasso_lambdasmax,0.0676,0.8055,0.0633,0.9225
20,coefdiff_bin,0.0649,0.9755,0.0499,1
20,lambdadiff_bin,0.0669,0.7645,0.0571,0.8955
20,lambdasmax_bin,0.0488,0.7485,0.0456,0.9005
20,random forest,0.0728,0.523,0.0589,0.6445
40,lasso_coefdiff,0.0765,0.7972,0.0914,0.8785
40,lasso_lambdadiff,0.0776,0.5558,0.0852,0.6278
40,lasso_lambdasmax,0.0699,0.5668,0.077,0.6192
40,coefdiff_bin,0.0783,0.8742,0.0853,0.9532
40,lambdadiff_bin,0.0692,0.5295,0.0882,0.6178
40,lambdasmax_bin,0.0495,0.4698,0.0651,0.5522
40,random forest,0.0764,0.3432,0.0895,0.3882
60,lasso_coefdiff,0.0895,0.6168,0.0865,0.6818
60,lasso_lambdadiff,0.0811,0.3755,0.0852,0.4665
60,lasso_lambdasmax,0.0612,0.3472,0.0701,0.4128
60,coefdiff_bin,0.0851,0.7097,0.0897,0.7943
60,lambdadiff_bin,0.0791,0.3495,0.0792,0.443
60,lambdasmax_bin,0.045,0.2583,0.055,0.3365
60,random forest,0.0714,0.2227,0.0703,0.2433
80,lasso_coefdiff,0.0889,0.5341,0.092,0.5247
80,lasso_lambdadiff,0.0882,0.3508,0.0887,0.3641
80,lasso_lambdasmax,0.0751,0.3177,0.0613,0.3108
80,coefdiff_bin,0.091,0.5986,0.0893,0.6135
80,lambdadiff_bin,0.0812,0.343,0.0909,0.3691
80,lambdasmax_bin,0.0578,0.2405,0.0508,0.2442
80,random forest,0.0718,0.1639,0.0546,0.1678
100,lasso_coefdiff,0.0667,0.3825,0.069,0.4392
100,lasso_lambdadiff,0.0664,0.2595,0.0676,0.3095
100,lasso_lambdasmax,0.0405,0.1704,0.0544,0.2482
100,coefdiff_bin,0.0715,0.4615,0.0732,0.5268
100,lambdadiff_bin,0.0593,0.2538,0.0639,0.3055
100,lambdasmax_bin,0.0306,0.1276,0.0462,0.2077
100,random forest,0.0436,0.127,0.0505,0.1343