K,knockstat,FDR1,POWER1,FDR35,POWER35
20,lasso_coefdiff,0.0609,0.9905,0.0596,1
20,lasso_lambdadiff,0.0669,0.99,0.0636,1
20,lasso_lambdasmax,0.0659,0.99,0.0561,1
20,pearson,0.0654,0.832,0.0785,0.8795
20,kendall,0.064,0.759,0.0831,0.842
20,spearman,0.0643,0.763,0.0808,0.8375
20,random forest,0.085,0.8685,0.0719,0.905
40,lasso_coefdiff,0.0861,1,0.0886,1
40,lasso_lambdadiff,0.0918,0.9988,0.09,0.9992
40,lasso_lambdasmax,0.0912,0.9995,0.0852,0.9988
40,pearson,0.0877,0.6002,0.0709,0.61
40,kendall,0.0895,0.5562,0.0782,0.579
40,spearman,0.0907,0.5535,0.077,0.5815
40,random forest,0.0991,0.663,0.0854,0.6315
60,lasso_coefdiff,0.079,1,0.0876,1
60,lasso_lambdadiff,0.0819,0.9798,0.0946,0.9945
60,lasso_lambdasmax,0.0835,0.9728,0.0896,0.993
60,pearson,0.0818,0.4607,0.0973,0.488
60,kendall,0.0717,0.3998,0.0951,0.4625
60,spearman,0.0779,0.4003,0.0956,0.4647
60,random forest,0.0758,0.46,0.086,0.4898
80,lasso_coefdiff,0.0912,1,0.091,1
80,lasso_lambdadiff,0.0848,0.9528,0.086,0.9619
80,lasso_lambdasmax,0.0813,0.9289,0.0832,0.9312
80,pearson,0.0826,0.4082,0.0923,0.3991
80,kendall,0.0729,0.3365,0.0957,0.3542
80,spearman,0.0765,0.3292,0.0959,0.3609
80,random forest,0.0741,0.3713,0.0733,0.3674
100,lasso_coefdiff,0.101,1,0.0832,1
100,lasso_lambdadiff,0.0863,0.9478,0.0798,0.9433
100,lasso_lambdasmax,0.08,0.8811,0.0788,0.9305
100,pearson,0.0903,0.3811,0.0798,0.3731
100,kendall,0.0853,0.3399,0.0804,0.3291
100,spearman,0.0846,0.3413,0.0847,0.3381
100,random forest,0.0714,0.3245,0.0658,0.3305